SalePrice,GrLivArea,TotalBsmtSF,FirstFlrSF,SecondFlrSF,GarageCars,GarageArea,YearBuilt,FullBath,TotRmsAbvGrd,CentralAir,
230000,1981,1117,1117,864,2,522,1978,2,8,1,O
87500,1510,677,833,677,2,720,1910,2,7,1,O
120000,1182,770,885,297,1,378,1945,1,5,1,O
105500,1092,525,525,567,2,440,1973,1,6,1,O
145250,1383,1383,1383,0,1,292,1960,1,7,1,O
200624,2515,2035,2515,0,2,484,1957,3,9,1,O
90500,1092,546,546,546,0,0,1970,1,5,1,O
184000,1540,754,754,786,2,495,1994,2,6,1,O
161000,1479,864,864,615,1,275,1969,2,8,1,O
109500,936,936,936,0,0,0,1920,1,5,1,O
207500,2090,1190,1190,900,2,577,1984,2,6,1,O
174000,1284,1284,1284,0,2,480,1984,2,5,1,O
89500,1406,319,1035,371,0,0,1920,1,6,1,O
246000,1646,1594,1646,0,2,525,2004,2,5,1,O
173500,1430,1430,1430,0,2,624,2004,2,7,1,O
108000,1510,755,755,755,1,296,1940,1,7,1,O
206300,1344,1344,1344,0,4,784,1997,2,8,1,O
174000,1682,1304,1682,0,2,530,1970,2,7,1,O
141000,1215,720,720,495,2,720,1940,1,6,1,O
123000,900,864,900,0,1,288,1967,1,6,1,O
235000,1865,992,992,873,3,839,2000,2,7,1,O
423000,2097,2077,2097,0,3,1134,2005,1,8,1,O
141000,1092,1092,1092,0,1,299,1957,1,6,1,O
292500,2840,1420,1420,1420,4,1314,1978,2,8,1,O
100000,1764,0,1764,0,1,301,1957,2,7,1,O
240900,1884,926,1016,868,2,581,2003,2,7,1,O
150500,1040,1040,1040,0,2,484,1977,2,5,1,O
185000,1718,832,885,833,2,427,1998,2,7,1,O
318000,1694,1694,1694,0,3,818,2007,2,7,1,O
84500,630,630,630,0,0,0,1970,1,3,1,O
159000,1218,1218,1218,0,2,576,2007,1,6,1,O
136500,1480,1080,1080,400,1,253,1951,1,7,0,O
128500,988,988,988,0,2,572,1961,1,5,1,O
131000,1716,768,1148,568,1,281,1949,1,8,1,O
184000,1479,725,725,754,2,484,1972,1,7,1,O
185900,1582,770,770,812,2,520,2004,2,6,1,O
167500,2019,728,1136,883,2,532,1910,1,8,0,O
226750,1892,982,1008,884,2,431,2000,2,8,1,O
177000,1357,1019,1357,0,1,312,1959,1,5,1,O
267300,1564,1546,1564,0,2,502,2006,2,6,1,O
241000,1550,1092,1112,438,2,438,2006,2,7,1,O
187000,1222,1222,1222,0,2,615,2010,2,6,1,O
355000,2500,1168,1168,1332,3,683,2005,3,9,1,O
148800,1120,864,1120,0,2,656,1966,1,5,1,O
100500,987,483,483,504,1,352,1972,1,5,1,O
224000,1906,1310,1906,0,2,576,1954,1,6,1,O
155891,992,381,992,0,1,319,1954,1,6,1,O
183500,1299,1001,1299,0,2,486,1979,2,5,1,O
110000,1776,1584,1776,0,3,888,1958,2,9,1,O
135000,864,864,864,0,1,420,1961,1,5,1,O
193500,1679,1408,1679,0,2,575,1994,2,7,1,O
119600,1991,957,1034,957,0,0,1895,2,9,0,O
144000,1690,815,815,875,1,225,1916,1,7,1,O
213000,1358,1358,1358,0,2,484,2005,2,6,1,O
64500,666,666,666,0,0,0,1946,1,4,0,O
173000,1291,1291,1291,0,2,431,1996,1,6,1,O
202000,1403,1381,1403,0,2,470,2000,2,5,1,O
104000,1296,1107,1296,0,1,260,1924,2,5,0,O
116500,1330,396,665,665,1,390,1910,1,7,1,O
190000,1500,1500,1500,0,2,570,2004,2,6,1,O
188500,1337,1337,1337,0,2,462,1989,2,5,1,O
143195,1076,1076,1076,0,2,576,1975,1,5,1,O
127000,1355,684,773,582,0,0,1914,1,7,1,O
169985,1492,738,738,754,2,440,2006,2,8,1,O
192000,2022,1160,1156,866,2,505,1977,2,8,1,O
249000,1506,1494,1506,0,2,672,2005,2,7,1,O
249000,2673,1043,1539,1134,2,441,1980,2,9,1,O
180500,1312,1267,1312,0,2,471,2001,2,5,1,O
372500,2786,1848,1827,959,2,636,1993,2,10,1,O
302000,1824,1643,1824,0,2,739,1971,2,5,1,O
189000,1456,728,728,728,2,410,2005,2,7,1,O
170000,1466,796,1096,370,2,566,1936,2,7,1,O
125000,1089,1089,1089,0,1,252,1954,1,5,1,O
133700,1040,1040,1040,0,1,286,1959,1,6,1,O
157900,1188,1188,1188,0,1,312,1962,1,6,1,O
226500,1589,1406,1589,0,3,630,2003,2,7,1,O
284000,2046,998,1006,1040,3,871,2003,2,8,1,O
141500,1496,1296,1496,0,2,450,1960,2,6,1,O
218689,1612,796,796,816,3,666,2008,2,6,1,O
132000,1057,1057,1057,0,2,576,1962,1,6,1,O
112500,928,928,928,0,1,288,1957,1,5,1,O
137000,860,840,860,0,2,528,1982,1,4,1,O
128000,958,1078,958,0,2,440,1976,2,5,1,O
198000,1696,1696,1696,0,2,625,1971,2,7,1,O
