SalePrice,GrLivArea,TotalBsmtSF,FirstFlrSF,SecondFlrSF,GarageCars,GarageArea,YearBuilt,FullBath,TotRmsAbvGrd,CentralAir
395192,1940,1930,1940,0,3,606,2009,2,8,1
290941,1544,1544,1544,0,3,868,2009,2,7,1
220000,1541,1541,1541,0,2,532,2005,2,7,1
275000,1698,1698,1698,0,3,730,2005,2,7,1
259000,1822,1822,1822,0,3,678,2005,2,8,1
214000,1535,1517,1535,0,2,532,2004,2,7,1
611657,2364,2330,2364,0,3,820,2009,2,11,1
224000,1358,1358,1358,0,2,484,2009,2,6,1
500000,2696,2846,2696,0,3,958,2003,2,10,1
320000,2250,1671,1687,563,3,756,2002,2,7,1
319900,1752,1752,1752,0,2,576,2005,2,6,1
205000,1370,1370,1370,0,2,484,2006,2,6,1
175500,1626,764,764,862,2,474,2003,2,6,1
199500,1324,1324,1324,0,2,430,2005,2,6,1
160000,1145,1145,1145,0,2,437,2006,2,6,1
192000,1269,1256,1269,0,2,430,2004,2,6,1
184500,1374,384,744,630,2,400,2004,2,7,1
216500,1960,860,860,1100,2,440,2002,2,8,1
185088,1733,847,847,886,2,433,2004,2,7,1
180000,1430,384,774,656,2,400,2000,2,7,1
222500,2035,884,884,1151,2,434,2001,2,8,1
333168,2599,1393,1422,1177,3,779,1999,2,10,1
355000,2475,1629,1645,830,3,962,1998,2,7,1
260400,1720,1720,1720,0,2,527,1996,2,7,1
325000,2622,1463,1500,1122,2,712,1994,2,9,1
290000,2270,1152,1164,1106,3,671,1999,2,9,1
221000,1839,1195,1195,644,2,486,1998,2,7,1
410000,3238,2033,2053,1185,3,666,1995,2,9,1
221500,1595,1595,1595,0,3,880,2005,2,6,1
204500,1218,1218,1218,0,2,676,2009,2,4,1
215200,1547,756,764,783,2,614,2009,2,7,1
262500,1566,1566,1566,0,2,750,2008,2,7,1
254900,1947,991,991,956,2,678,2004,2,8,1
271500,1468,1468,1468,0,2,528,2005,2,6,1
233000,2084,956,956,1128,2,618,2004,2,8,1
181000,1659,831,831,828,2,484,2004,2,8,1
205000,2110,948,1222,888,2,463,1994,2,8,1
143000,923,923,923,0,1,264,1980,2,5,1
189000,1845,1055,1055,790,2,462,1992,2,8,1
99500,918,918,918,0,1,264,1979,2,5,1
125000,752,744,752,0,1,264,1984,1,4,1
194500,1744,996,1014,730,2,457,1993,2,7,1
152000,1097,1040,1097,0,2,480,1984,2,6,1
171000,1564,650,888,676,2,476,1980,2,7,1
67500,1012,816,1012,0,1,429,1920,1,5,0
112000,1902,0,1318,584,2,539,1978,2,8,1
148000,1155,1109,1155,0,2,576,1961,1,6,1
138500,894,894,894,0,1,336,1965,1,5,1
122000,900,882,900,0,1,280,1967,1,5,1
133000,1040,1040,1040,0,1,308,1963,1,5,1
127000,1040,1040,1040,0,1,260,1962,1,6,1
169000,1494,1208,1494,0,2,461,1974,2,7,1
190000,1923,750,1061,862,2,564,1992,2,8,1
362500,2349,1231,1251,1098,3,762,1993,2,9,1
285000,2225,1390,1402,823,3,713,1992,2,7,1
260000,1488,1488,1488,0,2,506,2004,2,6,1
190000,1680,840,840,840,2,588,2004,2,3,1
155000,1200,600,600,600,2,480,2004,2,4,1
151000,1200,600,600,600,2,480,2004,2,4,1
149500,1200,600,600,600,2,480,2004,2,4,1
152000,1236,600,600,636,2,480,2005,2,4,1
222000,1478,1470,1478,0,2,484,2009,2,7,1
177500,1573,756,769,804,2,440,2000,2,5,1
177000,1512,756,756,756,2,440,2000,2,5,1
155000,1416,696,696,720,2,484,1999,2,6,1
147110,1080,530,530,550,2,496,2003,2,4,1
267916,1418,1642,1418,0,3,852,2010,1,6,1
254000,1848,975,975,873,2,592,2000,2,7,1
155000,788,728,788,0,2,484,1980,1,3,1
206000,1226,1226,1226,0,2,484,1978,1,4,1
130500,1479,725,725,754,2,475,1976,2,6,1
230000,1492,1492,1492,0,2,596,2002,2,6,1
218500,1829,1829,1829,0,2,535,1967,2,8,1
243500,2495,1280,1280,1215,2,660,1993,2,9,1
205000,1610,1610,1610,0,2,480,1977,2,6,1
212500,1891,1224,1287,604,2,678,1978,3,7,1
196500,1714,980,980,734,2,496,1988,2,7,1
197500,1381,1161,1381,0,2,676,1972,1,5,1
171000,1645,715,930,715,2,441,1971,1,7,1
142250,1232,1232,1232,0,2,490,1966,1,6,1
143000,1328,1328,1328,0,2,528,1963,1,6,1
128950,1225,950,1225,0,0,0,1959,1,6,1
159000,1209,1209,1209,0,2,504,1966,1,6,1
178900,1510,1510,1510,0,2,517,1967,2,6,1
136300,1775,533,1131,644,2,480,1964,2,8,1
180500,1152,1152,1152,0,2,484,1964,1,6,1
137500,1054,936,1054,0,2,480,1963,1,6,1
84900,1728,1728,1728,0,0,0,1962,2,10,1
142125,1078,1078,1078,0,1,240,1950,1,5,1
197600,2461,1140,1929,532,2,400,1952,2,7,1
172500,1556,782,1019,537,2,470,1949,2,6,1
116500,858,858,858,0,0,0,1958,1,4,1
76500,1306,728,1306,0,0,0,1940,1,6,1
128000,1063,1056,1063,0,1,280,1954,1,6,1
153000,1520,1156,1520,0,1,364,1955,1,7,1
132000,1268,1268,1268,0,1,244,1954,1,7,1
178000,1128,1080,1128,0,1,315,1966,1,5,1
154300,2274,1105,1105,1169,2,480,1960,2,12,1
180000,2207,1947,2207,0,2,576,1970,2,7,1
190000,1888,1517,1888,0,2,578,1966,2,6,1
135000,1604,1604,1604,0,2,576,1958,2,8,1
214000,1480,1480,1480,0,2,620,2003,2,7,1
136000,1143,1143,1143,0,1,308,1959,1,6,1
165500,1700,1398,1700,0,2,447,1959,1,6,1
145000,1314,1314,1314,0,1,294,1957,1,5,1
148000,1194,1194,1194,0,1,312,1959,1,6,1
142000,1188,1188,1188,0,2,531,1959,1,6,1
167500,1264,1268,1264,0,2,461,1960,1,6,1
108538,1206,1206,1206,0,1,312,1959,1,6,1
159500,1580,1244,1580,0,2,440,1959,1,6,1
108000,1337,832,832,505,1,263,1956,1,5,1
135000,1064,864,1064,0,1,318,1952,1,4,1
122500,972,972,972,0,1,305,1955,1,5,1
119000,988,988,988,0,1,264,1958,1,5,1
109000,1057,1057,1057,0,1,246,1953,1,5,1
105000,985,576,985,0,2,676,1920,1,4,1
107500,827,0,827,0,1,392,1955,1,5,1
144900,1086,1086,1086,0,2,490,1954,1,6,1
129000,936,936,936,0,1,308,1956,1,4,1
97500,1458,912,912,546,1,330,1948,1,6,1
144000,1056,1056,1056,0,2,576,1980,0,4,1
162000,1287,1063,1287,0,2,576,1959,1,7,1
242000,2978,710,1898,1080,2,564,1967,2,11,1
132000,1224,816,816,408,1,280,1948,1,5,1
154000,1246,1246,1246,0,1,305,1959,1,6,1
166000,1385,910,910,475,2,720,1952,2,6,1
134800,900,900,900,0,2,576,1951,1,5,1
160000,1116,1116,1116,0,2,440,1962,1,5,1
148000,1175,1175,1175,0,2,484,1960,1,6,1
192000,1395,1395,1395,0,2,440,1963,1,7,1
155000,1839,756,1051,788,2,442,1966,1,7,1
80400,1844,709,1157,687,1,240,1900,1,9,1
96500,1140,576,792,348,0,0,1910,1,7,1
109500,936,936,936,0,0,0,1920,1,5,1
115000,1028,1008,1028,0,2,360,1927,1,5,1
143000,1347,1347,1347,0,2,551,1957,1,6,1
107400,1605,840,840,765,1,379,1915,2,8,0
80000,747,747,747,0,1,220,1945,1,4,1
119000,804,788,804,0,1,240,1940,1,4,1
130000,1316,926,926,0,2,484,1929,1,6,1
119000,1251,827,827,424,1,240,1938,1,6,1
129000,1633,1027,1027,606,1,240,1948,1,7,1
100000,1245,1008,1060,185,1,315,1920,1,6,1
12789,832,678,832,0,2,780,1923,1,5,0
105900,720,624,720,0,2,484,1928,1,5,1
150000,1566,930,930,636,1,288,1900,2,7,0
139000,1652,686,966,686,1,416,1915,2,7,1
240000,2268,346,1157,1111,2,624,1890,3,7,1
76500,2256,840,1128,1128,0,0,1910,2,12,0
149700,1236,912,1236,0,2,923,1957,1,6,1
125500,1363,622,741,622,2,528,1910,1,6,1
122500,2290,777,1246,1044,2,560,1885,2,11,1
140750,1470,738,868,602,2,624,1922,1,6,1
128500,1612,988,1030,582,1,363,1950,1,7,1
209500,2068,1108,1160,908,1,315,1922,1,8,0
87000,765,765,765,0,1,200,1925,1,4,0
134000,1132,608,608,524,1,240,1939,1,5,1
128000,1196,572,848,348,2,576,1940,1,6,1
132000,1453,835,955,498,1,240,1942,1,7,1
139900,1416,780,780,636,1,312,1948,1,6,1
123900,1040,528,548,492,2,624,1936,1,5,1
138400,1536,928,928,608,2,480,1930,2,7,1
109500,1068,1124,1068,0,1,288,1923,1,5,1
140000,1710,576,902,808,2,480,1921,2,9,1
149500,1962,888,888,1074,2,572,1915,1,9,1
159900,1560,780,780,780,0,0,1912,1,7,1
122000,1324,662,662,662,1,180,1920,1,6,1
110000,816,816,816,0,2,516,1963,1,5,0
55000,1092,0,372,720,0,0,1930,2,7,0
140000,1812,360,1032,780,2,672,1900,2,8,1
244400,2403,1032,1207,1196,1,349,1940,2,10,1
173000,1675,1422,1675,0,1,365,1959,2,8,1
107500,1224,689,725,499,1,180,1917,1,6,0
100000,1392,1212,1212,180,0,0,1915,1,6,0
95000,919,600,600,319,1,231,1940,1,5,0
93369,1884,707,942,942,0,0,1907,1,7,0
114900,1680,856,936,744,2,450,1910,2,7,1
94000,1020,780,780,240,0,0,1875,1,6,0
136000,1832,1832,1832,0,0,0,1967,2,8,0
136500,1768,1768,1768,0,0,0,1968,2,8,0
131500,1039,1039,1039,0,2,504,1965,1,6,1
121500,1392,1392,1392,0,2,528,1957,1,5,1
125000,912,912,912,0,1,336,1967,1,5,1
154000,1060,1060,1060,0,1,270,1968,1,6,1
137900,892,864,892,0,1,416,1966,1,5,1
158000,1352,663,663,689,1,299,1969,1,7,1
137250,864,864,864,0,1,280,1968,1,4,1
160250,1373,1319,1373,0,2,591,1978,1,5,1
163000,1440,720,720,720,2,480,1968,1,7,1
158900,1386,672,672,714,2,440,1978,2,6,1
328000,2260,1306,1306,954,2,533,1996,2,7,1
270000,1483,1420,1483,0,2,690,1977,1,4,1
85000,756,660,756,0,2,440,1927,1,4,0
128000,1067,1067,1067,0,2,436,1950,2,4,1
260000,1524,1332,1332,192,2,586,1979,0,4,1
230000,1981,1117,1117,864,2,522,1978,2,8,1
124000,1610,972,1052,558,1,480,1938,2,8,1
83000,835,458,835,0,1,366,1920,1,5,0
144500,1074,663,1074,0,1,467,1950,1,6,1
129000,1144,1144,1144,0,1,596,1956,1,6,1
127000,1531,756,1169,0,1,209,1947,1,8,1
128000,1172,1172,1172,0,1,366,1954,1,5,1
186000,1212,1212,1212,0,2,460,2009,2,6,1
308030,1508,1508,1508,0,2,572,2009,1,5,1
114000,1298,1250,1298,0,2,504,1964,2,5,1
84900,930,0,930,0,1,308,1946,1,6,1
178000,1732,741,977,755,2,476,1985,2,7,1
270000,1433,1433,1433,0,2,528,1987,1,4,1
218000,1802,946,964,838,4,1017,1993,2,8,1
236000,1949,1050,1062,887,2,574,1993,2,8,1
147000,996,936,996,0,2,564,1992,1,5,1
245350,1694,1694,1694,0,3,776,2008,2,7,1
206000,1208,1187,1208,0,2,632,2006,2,6,1
198900,1226,1226,1226,0,3,740,2009,2,6,1
187000,1222,1222,1222,0,2,615,2010,2,6,1
320000,3222,1673,1699,1523,3,594,1990,3,11,1
138500,1445,676,831,614,2,484,1900,2,6,1
155000,1052,1010,1052,0,2,440,1971,1,6,1
159000,965,870,965,0,2,580,1996,1,4,1
191000,1692,878,892,800,2,513,1997,2,8,1
200500,1682,804,804,878,2,523,1998,2,7,1
150000,1026,1026,1026,0,1,308,1977,1,5,1
161750,1392,689,689,703,1,299,1977,1,6,1
128200,894,894,894,0,1,308,1976,1,5,1
127000,876,876,876,0,2,484,1972,1,5,1
318000,1978,1978,1978,0,3,850,2003,2,8,1
272000,1601,1581,1601,0,2,670,2001,2,6,1
237000,1829,941,941,888,2,613,2003,2,7,1
240000,2098,1040,1044,1054,2,621,1997,2,9,1
224900,1661,1649,1661,0,2,598,1998,2,6,1
143750,848,848,848,0,2,420,2003,1,4,1
143000,848,848,848,0,2,420,2004,1,3,1
232000,1668,1657,1668,0,2,502,2003,2,8,1
213000,1484,1473,1484,0,2,606,2004,2,7,1
185500,1414,1414,1414,0,2,494,2004,2,6,1
84900,640,0,640,0,1,240,1945,1,5,0
155891,992,381,992,0,1,319,1954,1,6,1
100000,1664,0,1664,0,0,0,1965,2,8,0
144000,1196,1196,1196,0,1,336,1968,1,6,1
64000,1120,744,792,328,2,480,1948,1,5,0
125200,1096,1008,1096,0,1,352,1975,1,5,1
107000,1117,1029,1117,0,2,672,1976,1,6,1
90000,960,960,960,0,0,0,1958,1,5,1
140000,1121,1121,1121,0,2,440,2003,2,5,1
113000,1487,735,798,689,1,220,1945,1,7,1
80000,924,672,672,252,1,280,1941,1,5,0
144500,1526,1216,1526,0,1,364,1957,1,7,1
104000,1296,1107,1296,0,1,260,1924,2,5,0
128000,1647,806,841,806,1,216,1915,1,6,0
58500,864,864,864,0,1,200,1914,1,5,0
127000,1691,1026,1026,665,1,308,1924,2,6,1
126000,856,856,856,0,2,399,1939,1,4,1
160000,2650,0,862,1788,0,0,1967,3,10,1
100000,1666,894,894,772,0,0,1931,1,7,1
169000,2447,804,1699,748,1,336,1919,2,10,1
257500,2133,1528,1225,908,1,312,1941,1,8,1
215000,2177,1032,1102,1075,2,484,1950,2,11,1
266500,2340,1152,1188,1152,1,252,1941,2,9,1
335000,1902,1902,1902,0,2,567,1959,2,7,1
203135,1652,423,896,756,2,473,1994,2,6,1
185000,1034,982,1034,0,2,598,1989,1,4,1
162500,1191,1191,1191,0,2,531,1989,2,5,1
289000,1801,1501,1801,0,2,484,1959,2,6,1
125500,1154,796,796,358,1,240,1922,1,7,1
82000,540,480,540,0,1,200,1941,1,4,1
110000,1107,629,727,380,1,625,1921,1,5,1
68400,1128,698,698,430,2,528,1920,1,6,1
102776,1178,859,859,319,1,384,1900,1,7,1
55993,1044,540,1044,0,2,504,1952,1,4,0
50138,952,756,952,0,1,330,1896,1,5,1
246000,1646,1594,1646,0,2,525,2004,2,5,1
254900,1916,1049,1036,880,3,741,1998,2,8,1
190000,1285,1243,1285,0,2,473,1977,2,6,1
201000,1560,1560,1560,0,2,573,2003,2,7,1
169900,1034,1012,1034,0,3,888,1976,1,6,1
170000,2048,1958,2048,0,2,776,1976,3,9,1
160000,1687,747,1687,0,2,572,1948,1,7,1
220000,1346,1336,1346,0,3,660,2008,2,6,1
179781,1214,1214,1214,0,2,520,2009,2,6,1
174000,1444,384,744,700,2,400,2006,2,7,1
269500,1968,774,774,1194,3,680,2009,2,8,1
214900,1894,817,824,1070,2,510,2002,2,8,1
202900,1908,967,993,915,2,431,2002,2,9,1
378500,2018,2002,2018,0,3,746,2008,2,10,1
169000,1264,1068,1264,0,2,528,1965,1,7,1
173500,1430,1430,1430,0,2,624,2004,2,7,1
139000,1824,912,912,912,0,0,1971,2,8,1
166500,1344,1344,1344,0,2,686,1999,2,7,1
83500,1092,546,546,546,1,286,1973,1,6,1
119500,945,945,945,0,1,253,1973,1,5,1
85000,1112,536,536,576,1,336,1976,1,4,1
76000,1092,546,546,546,0,0,1970,1,5,1
75500,630,630,630,0,0,0,1972,1,3,1
88250,1092,546,546,546,0,0,1970,1,5,1
85500,1092,546,546,546,1,286,1972,1,5,1
130000,874,864,874,0,1,352,1971,1,5,1
157900,1188,1188,1188,0,1,312,1962,1,6,1
149900,833,833,833,0,2,495,1984,1,5,1
159000,2432,1216,1216,1216,2,616,1985,4,10,1
136000,1274,624,624,650,2,576,1991,1,6,1
161000,1479,864,864,615,1,275,1969,2,8,1
285000,1803,1679,1803,0,2,482,1994,2,6,1
231000,1797,1152,1152,645,2,616,1993,2,7,1
124500,882,882,882,0,1,502,1956,1,5,1
157000,1434,1434,1434,0,2,528,1974,2,7,1
345000,2704,1952,2000,704,2,538,1972,2,9,1
189500,1608,945,945,663,2,470,1997,2,7,1
270000,2283,1008,1008,1275,3,632,2003,2,9,1
189000,1628,384,958,670,2,390,1996,2,7,1
377500,1746,1746,1746,0,3,758,2006,2,7,1
168500,1474,384,804,670,2,400,1995,2,7,1
375000,2522,2208,2522,0,2,564,2004,2,8,1
278000,1659,1501,1659,0,2,499,2000,2,5,1
240000,1478,1418,1478,0,2,495,1998,2,5,1
239500,1734,1587,1734,0,2,528,1995,2,6,1
177500,1382,384,751,631,2,396,1998,2,7,1
185000,1718,832,885,833,2,427,1998,2,7,1
191000,1636,952,952,684,2,440,1998,2,7,1
178000,1571,799,799,772,2,380,1993,2,7,1
185000,1470,680,680,790,2,420,1993,2,6,1
181316,1516,707,707,809,2,409,1994,2,7,1
166000,1190,1181,1190,0,2,430,1993,2,6,1
178000,1593,808,808,785,2,389,1992,2,7,1
174000,1481,702,702,779,2,343,1994,2,6,1
173000,1167,1158,1167,0,2,400,1992,2,6,1
225000,1983,978,1005,978,2,490,1999,2,9,1
180500,1442,1424,1442,0,2,500,1990,2,5,1
187500,1360,1220,1360,0,2,565,1984,1,4,1
501837,2234,2216,2234,0,3,1166,2008,2,9,1
372500,2046,2046,2046,0,3,834,2008,2,7,1
260000,1530,1530,1530,0,2,430,2005,2,7,1
185000,1934,1122,946,988,2,567,1977,2,6,1
260000,2353,845,1153,1200,2,484,1980,2,10,1
181000,1586,1362,1586,0,2,435,1979,2,7,1
82500,1411,1386,1411,0,2,544,1977,2,6,1
215000,1602,1602,1602,0,2,529,1977,2,8,1
154000,2050,832,1154,896,2,529,1978,2,8,1
200000,1671,1427,1671,0,2,484,1978,2,7,1
249000,2673,1043,1539,1134,2,441,1980,2,9,1
187500,1472,1372,1472,0,2,588,1980,2,6,1
184000,1707,1140,1707,0,2,479,1978,2,7,1
278000,2524,2524,2524,0,2,542,1981,2,9,1
157000,1601,1271,1601,0,2,478,1978,2,7,1
152000,1370,1090,1370,0,2,479,1976,2,6,1
197500,1868,780,1088,780,2,484,1976,2,9,1
240900,1884,926,1016,868,2,581,2003,2,7,1
263435,1935,832,832,1103,2,552,2009,2,8,1
220000,1874,1058,1058,816,2,588,2000,2,7,1
235000,1811,972,972,839,2,565,2002,2,7,1
213000,1621,1621,1621,0,2,478,1975,2,7,1
167900,1116,1116,1116,0,2,528,1974,2,6,1
158000,1193,1176,1193,0,2,506,1975,2,5,1
165000,1350,1064,1350,0,2,478,1974,2,7,1
158000,2119,689,1378,741,2,583,1972,2,7,1
136000,1792,896,896,896,0,0,1974,2,8,1
148500,1002,1002,1002,0,2,902,1970,1,5,1
156000,1026,1026,1026,0,2,440,1969,1,5,1
128000,1180,1180,1180,0,2,477,1970,1,6,1
143000,1050,1043,1050,0,1,336,1971,1,6,1
76500,864,864,864,0,2,576,1970,1,5,1
120500,864,864,864,0,2,660,1970,1,5,1
124500,864,864,864,0,2,463,1970,1,5,1
97000,864,864,864,0,2,576,1971,1,4,1
130000,864,864,864,0,2,576,1971,1,5,1
111000,987,483,483,504,1,264,1973,1,5,1
125000,1365,765,765,600,2,440,1970,1,7,1
112000,1302,630,630,672,1,280,1971,2,6,1
97000,987,483,483,504,1,288,1972,1,5,1
118000,987,483,483,504,1,264,1972,1,5,1
119500,1302,630,630,672,1,264,1972,2,6,1
143750,958,958,958,0,2,440,1976,2,5,1
146000,1548,804,804,744,2,440,1976,2,7,1
148500,1456,855,855,601,2,440,1976,2,7,1
123000,1055,1057,1055,0,2,440,1975,2,4,1
147000,1322,855,855,467,2,440,1974,2,6,1
137900,1456,855,855,601,2,440,1977,2,6,1
147000,1548,804,804,744,2,440,1978,2,7,1
148500,1441,855,855,586,2,440,1978,2,7,1
138000,1456,855,855,601,2,440,1978,2,6,1
128500,836,836,836,0,1,345,1976,1,5,1
100000,892,892,892,0,1,288,1967,1,5,1
148800,1120,864,1120,0,2,656,1966,1,5,1
337500,1718,1700,1718,0,3,786,2006,2,7,1
462000,2772,1776,1794,978,3,754,2007,3,10,1
485000,3140,1926,1966,1174,3,820,2008,3,11,1
555000,2402,3094,2402,0,3,672,2008,2,10,1
325000,1652,1652,1652,0,2,840,2006,2,6,1
256300,1600,1566,1600,0,3,890,2007,2,7,1
253293,2042,2042,2042,0,3,1390,2008,2,8,1
398800,2690,1365,1365,1325,3,864,2009,2,8,1
335000,2184,1104,1130,1054,3,836,2008,2,10,1
404000,2020,2020,2020,0,3,896,2008,2,7,1
402861,2020,2006,2020,0,3,900,2009,2,9,1
451950,2296,1722,1728,568,3,842,2008,2,10,1
610000,2674,2630,2674,0,3,762,2007,2,8,1
582933,2822,1734,1734,1088,3,1020,2008,3,12,1
360000,1736,1736,1736,0,3,834,2008,2,7,1
296000,1782,1782,1782,0,3,932,2004,2,7,1
409900,2520,1508,1508,1012,3,640,2007,2,10,1
255500,1717,1709,1717,0,3,908,2006,2,7,1
335000,1743,1739,1743,0,3,927,2008,2,8,1
274900,1713,1713,1713,0,3,856,2004,2,7,1
300000,1531,1504,1531,0,3,700,2006,2,6,1
324000,1808,1774,1808,0,3,850,2008,2,7,1
350000,2224,1462,1462,762,3,738,2004,2,10,1
280000,1836,1836,1836,0,3,862,2004,2,7,1
284000,1629,3206,1629,0,3,880,2003,2,7,1
269500,1760,1760,1760,0,2,583,2003,2,8,1
233170,1502,1502,1502,0,2,644,2009,2,7,1
386250,2392,2392,2392,0,3,968,2003,2,8,1
445000,2452,2452,2452,0,3,886,2003,2,10,1
290000,2400,1082,1105,1295,3,730,2003,3,10,1
255900,1606,1598,1606,0,3,871,2006,2,6,1
213000,1358,1358,1358,0,2,484,2005,2,6,1
196000,1306,1306,1306,0,2,624,2005,2,5,1
184500,1306,1306,1306,0,2,624,2005,2,5,1
212500,1358,1350,1358,0,2,484,2007,2,6,1
230000,1314,1314,1314,0,2,626,2007,2,6,1
552000,2492,2492,2492,0,3,949,2004,2,8,1
382500,2200,2200,2200,0,3,685,2003,2,8,1
320000,1884,1884,1884,0,2,649,2008,2,6,1
248500,1456,1451,1456,0,2,539,2008,2,6,1
286500,1712,1712,1712,0,3,701,2002,2,8,1
254000,1324,1324,1324,0,2,550,2006,2,6,1
173000,1405,1405,1405,0,2,478,2003,2,6,1
173000,1626,764,764,862,2,474,2003,2,6,1
184000,1456,728,728,728,2,390,2005,2,8,1
167800,1490,745,745,745,2,392,2005,2,7,1
174000,1484,742,742,742,2,390,2005,2,8,1
174000,1560,684,684,876,2,400,2005,2,6,1
174000,1555,1373,1555,0,3,660,2007,2,7,1
175900,1569,1386,1569,0,3,660,2007,2,7,1
192500,1555,1373,1555,0,2,430,2005,2,7,1
181000,1504,1346,1504,0,2,457,2005,2,7,1
180000,1220,1220,1220,0,2,397,2005,2,5,1
160200,1145,1145,1145,0,2,397,2005,2,5,1
188500,1432,716,716,716,2,432,2004,2,6,1
200000,2267,1010,1010,1257,2,390,2002,2,8,1
170000,1374,384,744,630,2,400,2004,2,6,1
189500,1630,868,868,762,2,436,2004,2,7,1
184100,1419,408,779,640,2,527,2002,2,7,1
195500,1594,846,846,748,2,434,2004,2,7,1
192000,1489,782,806,683,2,400,2003,2,8,1
178000,1342,698,698,644,2,393,2003,2,7,1
207500,1314,1314,1314,0,2,626,2007,2,6,1
236000,2256,952,980,1276,2,554,2000,2,8,1
257500,2004,870,878,1126,3,644,2002,2,8,1
244000,2054,992,1022,1032,2,390,2000,2,7,1
167000,1374,384,744,630,2,400,2004,2,7,1
179000,1800,982,1007,793,2,463,2000,2,7,1
190000,1514,794,819,695,2,394,2000,2,7,1
156000,1430,384,774,656,2,400,1999,2,7,1
245000,2312,1177,1223,1089,3,658,1999,2,8,1
181000,1675,841,892,783,2,502,1999,2,7,1
214000,2060,992,1022,1038,2,390,1999,2,8,1
168000,1430,384,774,656,2,410,1999,2,7,1
337000,2365,1252,1268,1097,3,856,1999,2,8,1
403000,2794,1462,1490,1304,3,810,1995,2,9,1
327000,2687,1455,1466,1221,3,810,2000,2,10,1
340000,2450,1284,1310,1140,3,1069,1998,2,7,1
336000,2612,1225,1276,1336,3,676,1998,2,8,1
265000,2344,1264,1277,1067,3,889,1996,2,7,1
315000,2063,2024,2063,0,3,815,1994,2,7,1
260000,2646,1347,1372,1274,3,656,1993,2,9,1
260000,2061,1070,1094,967,2,647,1995,2,7,1
263550,2232,1173,1215,1017,2,623,1993,2,8,1
402000,2448,1629,1686,762,3,711,1994,2,8,1
248000,1850,973,979,871,2,467,1994,2,7,1
244600,1468,1468,1468,0,3,898,2008,2,6,1
275000,1696,1696,1696,0,3,972,2008,2,7,1
257500,1658,1614,1658,0,3,726,2008,2,7,1
287090,1578,1573,1578,0,3,840,2008,2,7,1
275500,1702,1702,1702,0,3,844,2007,2,7,1
245000,1432,1422,1432,0,2,492,2006,2,7,1
253000,1971,1113,1113,858,2,689,2005,2,8,1
468000,2490,2458,2490,0,3,795,2005,2,9,1
252678,1852,900,932,920,2,644,2009,2,7,1
210000,1590,768,786,804,2,676,2008,2,6,1
208300,1218,1218,1218,0,2,676,2009,2,4,1
225000,1436,1436,1436,0,2,529,2008,2,6,1
229456,1314,1300,1314,0,2,552,2009,2,6,1
229800,1402,1402,1402,0,2,625,2008,2,7,1
250000,1530,1530,1530,0,3,984,2007,2,7,1
370878,1766,1766,1766,0,3,478,2009,2,7,1
238500,1448,1372,1448,0,2,692,2006,2,6,1
310000,2007,1017,1026,981,3,812,2008,2,10,1
270000,1795,900,909,886,3,782,2006,2,8,1
252000,1953,1082,1082,871,3,1043,2005,2,9,1
241000,1550,1092,1112,438,2,438,2006,2,7,1
264500,1836,1836,1836,0,2,517,2008,2,8,1
291000,1662,1652,1662,0,3,711,2006,2,8,1
